Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\Local_Data\KB\GSH\20240613_TIMS_KB_GSH_0_Slot1-44_1_15010.d	D:\Local_Data\KB\GSH\20240613_TIMS_KB_GSH_0_Slot1-44_1_15013.d	D:\Local_Data\KB\GSH\20240613_TIMS_KB_GSH_0_Slot1-44_2_15011.d	D:\Local_Data\KB\GSH\20240613_TIMS_KB_GSH_0_Slot1-44_2_15014.d	D:\Local_Data\KB\GSH\20240613_TIMS_KB_GSH_0_Slot1-44_3_15012.d	D:\Local_Data\KB\GSH\20240613_TIMS_KB_GSH_0_Slot1-44_3_15015.d	D:\Local_Data\KB\GSH\20240613_TIMS_KB_GSH_0p3_Slot1-43_1_15017.d	D:\Local_Data\KB\GSH\20240613_TIMS_KB_GSH_0p3_Slot1-43_2_15018.d	D:\Local_Data\KB\GSH\20240613_TIMS_KB_GSH_0p3_Slot1-43_3_15019.d	D:\Local_Data\KB\GSH\20240613_TIMS_KB_GSH_0p6_Slot1-42_1_15021.d	D:\Local_Data\KB\GSH\20240613_TIMS_KB_GSH_0p6_Slot1-42_2_15022.d	D:\Local_Data\KB\GSH\20240613_TIMS_KB_GSH_0p6_Slot1-42_3_15023.d	D:\Local_Data\KB\GSH\20240613_TIMS_KB_GSH_1_Slot1-41_1_15025.d	D:\Local_Data\KB\GSH\20240613_TIMS_KB_GSH_1_Slot1-41_2_15026.d	D:\Local_Data\KB\GSH\20240613_TIMS_KB_GSH_1_Slot1-41_3_15027.d	D:\Local_Data\KB\GSH\20240613_TIMS_KB_GSH_2_Slot1-40_1_15029.d	D:\Local_Data\KB\GSH\20240613_TIMS_KB_GSH_2_Slot1-40_2_15030.d	D:\Local_Data\KB\GSH\20240613_TIMS_KB_GSH_2_Slot1-40_3_15031.d	D:\Local_Data\KB\GSH\20240613_TIMS_KB_GSH_5_Slot1-39_1_15033.d	D:\Local_Data\KB\GSH\20240613_TIMS_KB_GSH_5_Slot1-39_2_15034.d	D:\Local_Data\KB\GSH\20240613_TIMS_KB_GSH_5_Slot1-39_3_15035.d	D:\Local_Data\KB\GSH\20240613_TIMS_KB_GSH_10_Slot1-38_1_15037.d	D:\Local_Data\KB\GSH\20240613_TIMS_KB_GSH_10_Slot1-38_2_15038.d	D:\Local_Data\KB\GSH\20240613_TIMS_KB_GSH_10_Slot1-38_3_15039.d	D:\Local_Data\KB\GSH\20240613_TIMS_KB_GSH_20_Slot1-37_1_15041.d	D:\Local_Data\KB\GSH\20240613_TIMS_KB_GSH_20_Slot1-37_2_15042.d	D:\Local_Data\KB\GSH\20240613_TIMS_KB_GSH_20_Slot1-37_3_15043.d	D:\Local_Data\KB\GSH\20240709_TIMS_KB_GSH_0p6_Slot1-45_1_15371.d	D:\Local_Data\KB\GSH\20240709_TIMS_KB_GSH_0p6_Slot1-45_2_15372.d	D:\Local_Data\KB\GSH\20240709_TIMS_KB_GSH_0p6_Slot1-45_3_15373.d	D:\Local_Data\KB\GSH\20240709_TIMS_KB_GSH_10_Slot1-46_1_15375.d	D:\Local_Data\KB\GSH\20240709_TIMS_KB_GSH_10_Slot1-46_1_15443.d	D:\Local_Data\KB\GSH\20240709_TIMS_KB_GSH_10_Slot1-46_2_15376.d	D:\Local_Data\KB\GSH\20240709_TIMS_KB_GSH_10_Slot1-46_2_15444.d	D:\Local_Data\KB\GSH\20240709_TIMS_KB_GSH_10_Slot1-46_3_15377.d	D:\Local_Data\KB\GSH\20240709_TIMS_KB_GSH_10_Slot1-46_3_15445.d	D:\Local_Data\KB\GSH\20240709_TIMS_KB_GSH_20_Slot1-47_1_15379.d	D:\Local_Data\KB\GSH\20240709_TIMS_KB_GSH_20_Slot1-47_1_15447.d	D:\Local_Data\KB\GSH\20240709_TIMS_KB_GSH_20_Slot1-47_2_15380.d	D:\Local_Data\KB\GSH\20240709_TIMS_KB_GSH_20_Slot1-47_2_15448.d
A2RU49	A2RU49	HYKK_HUMAN	HYKK	Hydroxylysine kinase	1322.5	1326.9	1395.99	1494.11	1208.76	1832.64	1215.06	1468.38	1716.25	1324.84	1141.74	1336.88	1253.79	1495.16	1466.81	1533.78	1657.6	1952.88							1684.88		3305.12	1995.48	2622.52	3024.09										
A2RUC4	A2RUC4	TYW5_HUMAN	TYW5	tRNA wybutosine-synthesizing protein 5	4674.4	4291.28	5049.61	4292.29	4662.88	4247.33	4912.44	4978.08	4869.27	4950.43	4436.97	5096.57	5193.93	5349.88	5527.13	8044.7	6588.54	6464.5	13917.6	11302.6	9632.43				5164.99	2494.5		5387.86	5749.11	5620.94										3005.03
A2RUS2	A2RUS2	DEND3_HUMAN	DENND3	DENN domain-containing protein 3	2187	2867.59	2294.69	2790.67	2416.51	2719.43	2184.69	2110.31	2745.04	1779.77	1864	1897.36	1835.59	1701.92	1845.44	2179.15	2754.58	2253.24										2424.51	2063.3	2185.81							1672.44	2937.79		3698.58
A2VDF0	A2VDF0	FUCM_HUMAN	FUOM	Fucose mutarotase	1903.83	2241.54	1888.59	3134.71	1990.67	2652.71			1649.23	1340.12	1454.95	1269.25	2176.7	1710.05	1763.22		4271.95	3770.46																						
A3KN83	A3KN83	SBNO1_HUMAN	SBNO1	Protein strawberry notch homolog 1	3825.22	4044.09	4097.05	4006.31	4295.14	4508.17	3966.04	4001.77	3977.73	4055.1	3349.87	3816.11	3829.46	3711.24	4207.11	3568.66	3167.55	3960.12				8547.28		7466.6	6063.13	6979.24	7365.69	4288.33	3175.57	4421.54	8298.28	6548.73		9858.08			4935.71	4363.8	7064.13	5324.16
A4D1P6	A4D1P6	WDR91_HUMAN	WDR91	WD repeat-containing protein 91	5018.18	5602.94	5099.11	6511.69	4966.02	6551.83	4934.41	4701.13	5068.57	4244.5	4938.06	4160.77	3706.35	4735.01	4608.6	3821.52	3631.19	4475.57				2005.31	11708.1	4036.97	6138.74	5431.08	7117.96	4950.92	4905.63	4621.08		16071.4	220108	6145.7		7845.74	19141.9	5351.45	7110.75	6441.96
A4D2B0	A4D2B0	MBLC1_HUMAN	MBLAC1	Metallo-beta-lactamase domain-containing protein 1																	1456.75		23079.1	21927.2	27468.5								762.03	1442.15								968.234		
A5PLN9	A5PLN9	TPC13_HUMAN	TRAPPC13	Trafficking protein particle complex subunit 13	2709.74	2083.23	2155.71	2718.6	2557.85	2868.31	2134.51	3123.08	2177.05	1196.97			730.071	1087.44	1179.05		1754.24	1919.29									2604.16	2440.52	2383.33	1977.24	8437.54									
A5YKK6	A5YKK6	CNOT1_HUMAN	CNOT1	CCR4-NOT transcription complex subunit 1	4068.32	4263.11	3971.9	4057.55	3897.96	4751.91	4056.95	4185.89	4437.67	4328.31	3929.26	3574.19	3783.21	3931.57	3889.22	3216.06	3129.49	3004.27						5675.5	5809.85	6846.4	7687.47	4202.91	3832.28	3972.03		6562.05		19077.9	13307.1	1739.11	4593.73	6472.14	7324.03	6693.12
A6NC98	A6NC98	CC88B_HUMAN	CCDC88B	Coiled-coil domain-containing protein 88B	1418.84		1470.37	1164.49	1538.43	1280.22	1960.59	1171.2	1067.04	856.107	941.317	836.059	1294.11	1351.27	1099.12	1282.7	998.935	1293.68									4315.84		1841.93						13492.4	21577.1		36895.8		
A6NCE7;Q9GZQ8	Q9GZQ8;A6NCE7	MLP3B_HUMAN;MP3B2_HUMAN	MAP1LC3B;MAP1LC3B2	Microtubule-associated proteins 1A/1B light chain 3 beta 2	1303.62	1690.51	1301.04	1819.28	1236.73	1637.56	984.832	1148.55	1220.31	1360.14	1354.46	1272.69	1161.67	1239.35	1285.59		2200.5	1043.57											750.463	1596.68				7748.83		4831.83				1931.99
A6NDG6	A6NDG6	PGP_HUMAN	PGP	Glycerol-3-phosphate phosphatase	40278	60618.1	41388.4	64146.2	43412.1	58940.4	46960.7	44841.1	47128.8	32916.7	32921.9	34076.7	38513.2	37950.9	39450.8	81282.2	78458.1	78754.4	134257	147509	158756	28928.2	30106.9	32453	27712.9	20810	19924.9	61983.3	60585.7	58119.3	25969.2	31422	25275.5	32295.3	13785.6	13096.9	20178.9	17717.1	22305.5	19970.2
A6NDU8	A6NDU8	RIMC1_HUMAN	RIMOC1	RAB7A-interacting MON1-CCZ1 complex subunit 1	803.784	425.924	499.362	834.87	626.206	628.425	713.781	545.648	438.549	575.255	509.617	493.269	607.981	366.5	431.475	763.691	598.063	494.751							2240.19		1836.07	262.478	281.608	489.305	1936.21									978.904
A6NED2	A6NED2	RCCD1_HUMAN	RCCD1	RCC1 domain-containing protein 1	4551.63	4671.31	4412.19	4310.32	4263.4	4474.68	4119.8	4377.08	4348.15	3134.5	3586.68	4274.13	3620.25	3875.37	3835.76	4808.26	4627.89	4596.51				5862.93			2551.04	2552.13		3248.16	3909.21	3323.28								4485.72		2562.59
A6NFI3	A6NFI3	ZN316_HUMAN	ZNF316	Zinc finger protein 316	3059.87	3676.83	3573.26	2584.74	3125.36	3305.37	3085.64	2823.76	3714.01	6359.87	5271.56	390.849	2411.2	2024.61	3522.23	2518.36	2601.87	2292.62					5952.86		2577.88		4621.58	2122.96	2484.9	2394.09							2137.53	3951.22		3703.94
A6NHL2	A6NHL2	TBAL3_HUMAN	TUBAL3	Tubulin alpha chain-like 3	9426.43	7682.79	9667.81	6536.07	8935.51	8715.5	7677.01	8842.36	9090.96	4533.15	4639.13	4725.49	6013.35	6167.09	5548.21	7771.54	9153.02	7909.43								6221.24	8548.74	7246.12	7307.55	8005.04					6864.23	7288.41		4809.64		
A6NHL2;P68366	A6NHL2;P0DPH7;P0DPH8;P68363;P68366;Q71U36;Q9BQE3;Q9NY65	TBA4A_HUMAN;TBAL3_HUMAN	TUBA4A;TUBAL3	Tubulin alpha chain-like 3	7590.79	1038.39	5345.48	677.015	4293.07		57874.1	46827.4	47316.8	3814.07	4753.1	2846.78	862.27	837.97	777.902							4646.38	3891.02	5530.7																
A6NHL2;P68366;Q9BQE3	A6NHL2;P68363;P68366;Q71U36;Q9BQE3	TBA1C_HUMAN;TBA4A_HUMAN;TBAL3_HUMAN	TUBA1C;TUBA4A;TUBAL3	Tubulin alpha chain-like 3	5273.71	4765.12	4960.94	3363.04	6165.9	3508.8	4144.12	3594.44	4563.39	49503.4	56839.2	58528.7	54558	21135.9	22672.6	4647.21	5559.03	3604.53				31588.2	20068.9	21211.7				7657.44	1139			4515.63	21005.6	138515		109280		6440.49		4439.89
A6NHX0	A6NHX0	CAST2_HUMAN	CASTOR2	Cytosolic arginine sensor for mTORC1 subunit 2	3694.1	3384.9	4317.72	3026.43	4675.35	4500.68	4049.82	4192.21	4271.49	5880.47	5387.58	5557.11	6206.68	5398.37	5830.36	7793.39	5520.08	6616.8										3115.35	3630.27	3436.05										
A6NIH7	A6NIH7	U119B_HUMAN	UNC119B	Protein unc-119 homolog B	5897.48	5664.19	5957.71	5350.16	5223.73	5971.25	4923.64	4447.01	4398.82	2815.23	2644.67	2807	3604.63	3687.7	3689.44	3207.41	4081.76	4218.56				16191.7	25212.7	6431.55	6570.7	7028.19	10621.5	5851.9	6912.29	6087.28	24434.7	11435.8	17531.8	8862.66	12795.3	12568.3	8850.97	10100.2	8025.47	8805.15
A6NIH7;Q13432	A6NIH7;Q13432	U119A_HUMAN;U119B_HUMAN	UNC119;UNC119B	Protein unc-119 homolog B	11521.5	16265.9	13014.8	13925.3	12849.2	13030.7	14334.5	13552.4	12890.6	13048.1	12326.4	13676.8	13861	12270	13328.3	14901.9	14039.9	13689.3				17746.5	16637.5		11544.7	12012.2	8086.58	15650.8	13523.8	13892.6	22341.1	17289.5	8926.18	13384.7			13329	14233.9		13613.7
A6NKF1	A6NKF1	SAC31_HUMAN	SAC3D1	SAC3 domain-containing protein 1	2391.09	2873.43	2299.07	2352.75	2359.24	3138.13	1733.39	1879.34	2327.91	2933.61	3333.15	2274.75	1792.98	1854.86	2200.51	1654.73	2086.63	1654.31							3702.92			2171.14	2721.44	2978.27	9729.09	3183.61		4643.42			2942.48	2008.95		
A8K0Z3;C4AMC7;Q6VEQ5	A8K0Z3;C4AMC7;Q6VEQ5;A8MWX3;Q9NQA3	WASH1_HUMAN;WASH2_HUMAN;WASH3_HUMAN	WASH2P;WASH3P;WASHC1	WASH complex subunit 1	1358.72	1439.13	1512.39	1408.28	1496.71	1752.28	1637.15	1919.1	1728.27	2026.41	1724.03	2200.34	1431.95	1762.94	1731.96	1220.74	1838.08	1518.48							2396.5	1437.03	5202.25	1672.29	1611.98								2613.02	4741.99		3150
A8MPS7	A8MPS7	YDJC_HUMAN	YDJC	Carbohydrate deacetylase	813.637		706.484	853.657	747.226	985.175	995.228	725.935	1066.93	762.131	972.861	746.252	787.757	970.681	698.649	628.192	1020.53	766.654										1036.73	574.675	839.686										1523.2
A8MTL9	A8MTL9	HMSD_HUMAN	HMSD	Serpin-like protein HMSD	2913.66	2785.18	3056.56	2614.83	3018.5	2918.74	1649.14	1880.62	1700.41	1762.18	2038.6	1551.01	2521.47	2584.31	2409.47	2096.11	2829.56	3005.22										1580.71	1088.24	1497.81										
A8MWD9;P62308	P62308;A8MWD9	RUXGL_HUMAN;RUXG_HUMAN	SNRPG;SNRPGP15	Putative small nuclear ribonucleoprotein G-like protein 15	17365.4	14963.4	16652.2	15048.8	17658.9	17409.6	12039.1	13053.6	13384	20781.7	20200.3	21042.9	19693.6	18706.7	19273	12652.2	13406.6	10795.1				14557.5	12695.8	10538.1	5888.64	3773.09	8770.81	9269.98	8270	8254.25	14989.9	10887.9	13465.3	16497.1	11357.2	16229	17945.1	18058.2	16054.5	17097.5
A9UHW6	A9UHW6	MI4GD_HUMAN	MIF4GD	MIF4G domain-containing protein	1166.42	1219.33	1382.12	1436.68	1253.72	1016.35	901.477	1113.76	1128.99	1227.93	1164.03	999.633	1018.2	1083.63	920.511	1076.75	963.6	828.706								1259.03		768.99	603.777	915.672										
B0I1T2	B0I1T2;O94832	MYO1G_HUMAN	MYO1G	Unconventional myosin-Ig	4569.44	5744.62	4867.59	4646.64	4267.89	5289.78	4893.21	4732.97	5222.83	4535.45	4233.06	4442.35	4337.11	4493.84	4476.09	4283.42	4136.51	4051.18				6014.12	4185.12	10169.9	5571.9	6135.37	6606.41	5583.25	5351.58	5006.45		9867.99		13883.4			6740.63	6120.4	6160.43	6300.52
CON_ENSEMBL:ENSBTAP00000007350	CON_P01030;CON_ENSEMBL:ENSBTAP00000007350	(Bos	(Bos		1249.21	1005.91	1356.15	1090.26	1317.81		650.141	601.196	891.655	869.064	603.157	834.362	931.886	1034.25	978.948	461.39		1184.87										1416.55	1087.52	1934.8	17591.8	10324.3				18792.1	1867.12	3749.54	6024.87	5156.26
CON_ENSEMBL:ENSBTAP00000011227;CON_ENSEMBL:ENSBTAP00000033053	CON_Q1RMK2;CON_ENSEMBL:ENSBTAP00000033053;CON_ENSEMBL:ENSBTAP00000011227	(Bos	(Bos				1760.51		2402.22		1774.57	1735.02	1966.06				2418.61	2483.73	2218.63																									
CON_ENSEMBL:ENSBTAP00000018574	CON_ENSEMBL:ENSBTAP00000018574	(Bos	(Bos		827.876	600.461	492.894		494.049								386.399		336.716													2292.68		766.563	7337.93									
CON_ENSEMBL:ENSBTAP00000024146	CON_ENSEMBL:ENSBTAP00000024146	(Bos	(Bos		5894.02	5251.68	5045.77	5112.53	5469.04	6750.42	5198.91	5496.9	5021.15	5171.49	4982.83	4105.36	5524.13	5644.29	5517.43	7677.28	7436.46	8418.04	13764.7	9960.64	9470							6852.35	7203.04	6420.28	17677.1		35330.8			10204.7		4005.98		
CON_ENSEMBL:ENSBTAP00000034412	CON_ENSEMBL:ENSBTAP00000034412	(Bos	(Bos		4923.41	6604.31	6272.84	6822.79	4177.52	7208.98	4667.89	5593.86	3876.62	5319.26	4731.37	6353.38	3000.58	2721.61	3298.21	5112.57	3828.87	4891.16				5811.37	8645.65	5630.4	4374.27	3353.31	4474.5	7053.9	6878.54	7690.24	9682.78	12350.4		14855.4	14093.1	7083.13	21072.6	20600.6	18139	18933.1
CON_ENSEMBL:ENSBTAP00000038253	P12035;P19013;Q3SY84;Q7RTS7;Q86Y46;CON_Q32MB2;CON_P19013;CON_Q9R0H5;CON_Q3SY84;CON_P12035;CON_Q7RTS7;CON_ENSEMBL:ENSBTAP00000038253	(Bos	(Bos																							1986.8															2493.65	2528.15		2634.87
CON_P00761	CON_P00761	SWISS-PROT:P00761|TRYP_PIG	SWISS-PROT:P00761|TRYP_PIG		1.07428e+06	441611	1.0458e+06	276429	972602	394855	325232	280832	267172	2.78011e+06	2.47823e+06	2.56402e+06	918937	890071	949619	524990	467547	488718	5.27161e+06	4.40518e+06	5.25619e+06	785734	1.53373e+06	1.59724e+06	7.54334e+06	3.66199e+06	4.58362e+06	297603	404130	310738	2.0853e+06	1.11945e+07	5.18125e+06	3.74071e+06		5.64682e+06	2.40303e+06	2.97724e+06	1.84344e+06	1.62527e+06
CON_P01966	CON_P01966	SWISS-PROT:P01966	SWISS-PROT:P01966		5471.71	2484.23	3680.79	2554.39	2373.78	2897.01	1046.61	1335.88	1133.51	1409.56	1381.61	1359.98	1237	1777.03	1872.43		1951.32	2712.59			12054.7						1198.92	26763.7	8855.87	3913.02	23877.2		26509.3		22721.8		6791.29	1851.72	5935.75	
CON_P02070;CON_Q3SX09	CON_Q3SX09;CON_P02070	SWISS-PROT:P02070;TREMBL:Q3SX09	SWISS-PROT:P02070;TREMBL:Q3SX09		532.964	319.42	526.911	1048.94	630.811	443.925	226.578	386.324		358.106	201.937	277.208	216.976	248.129	345.338	272.854																								
CON_P02662	CON_P02662	SWISS-PROT:P02662	SWISS-PROT:P02662		1221.38	1002.99	1312.79	1777.8	841.437	1327.96	302.919	387.558	201.097	2266.57	2753.69	2044.88	304.699	349.215						7690.02	10124.1		7827.43		3214.07			4187.38	3108.36	3783.06	23502	204638	23619	94113.2	26440.7	96706.2	10501.9	46874.5	14185.9	23745.8
CON_P02663	CON_P02663	SWISS-PROT:P02663	SWISS-PROT:P02663		1111.68					2127.83				3751.84	3680.44								42895.2	33665.9	52216	20220.8		21711.7			5355.81	11684.9	11789.4	11174.1	11237.1	21906.8	18931.9	21155.3	23672.7	29810.4	7521.11	11115.9	9542.83	11807.6
CON_P02668	CON_P02668	SWISS-PROT:P02668	SWISS-PROT:P02668		3394.06	4884.6	3141.16	5064.69	4727.11	3730.18	1642.55		1699.71	5309.75	5381.57	5725.13		6229.93	6423.67	20628.7	22006.1	21277.7	44544.8	45996.9	43921.3			10190.1	3849.01	6074.37	4983.55	22680.2	23629.4	24232.9		78163.7	13802.7		15329.4			17364.2	6361.4	16306.5
CON_P02754	CON_P02754	SWISS-PROT:P02754	SWISS-PROT:P02754																				12497.5	12020.2	8913.27	4522.11	4065.58					760.217	891.547	820.56				6439.59	3910.04	2901		3768.23	1993.98	1900.43
CON_P02769	P02768;CON_P02769;CON_P02768-1	SWISS-PROT:P02769	SWISS-PROT:P02769		33806.4	32077.9	34321.4	32597.6	35320.7	33042.7	30315.2	29327.6	27541.2	47439.8	48893.1	48515.8	41124.7	40950	40722	67042.3	64476	63450.1	191128	192116	207853	33382.4	31345.4	31373.9	10819	13551.7	12010.7	39291.1	39276.5	35856.6	58334.4	50111	57458.2	55859.9	43810.6	40285.1	20055.8	20859.2	20046.3	17484.2
CON_P06868	CON_P06868	SWISS-PROT:P06868	SWISS-PROT:P06868		704.414	883.274	851.121		744.411	1007.02	473.738	534.788	609.2				852.488	709.503	628.822	714.322	790.448	590.074		3280.88								1210.23	1001.32	673.585			5976.83			939.181	1418.05			
